itemid,mean,dev_std,min,max,sparse
15104,0, 0, 0, 0, 1
15105,1.872599e-05, 0.0, 1.872599e-05, 1.872599e-05, 0.9999515386479283
15106,0, 0, 0, 0, 1
15107,0, 0, 0, 0, 1
15108,6.1914936e-05, 5.8480986e-05, 1.735254e-05, 0.00019550102, 0.9985461594378483
15109,0, 0, 0, 0, 1
15110,0, 0, 0, 0, 1
15111,0, 0, 0, 0, 1
15112,1.8861294e-05, 0.0, 1.8861294e-05, 1.8861294e-05, 0.9999515386479283
15113,0, 0, 0, 0, 1
15114,0, 0, 0, 0, 1
15115,5.8397633e-05, 3.669787e-05, 1.8681907e-05, 9.808993e-05, 0.999660770535498
15116,0, 0, 0, 0, 1
15117,0, 0, 0, 0, 1
15118,2.438428e-05, 8.97616e-06, 1.856496e-05, 3.8621318e-05, 0.999660770535498
15119,0, 0, 0, 0, 1
15120,0, 0, 0, 0, 1
15121,3.870202e-05, 1.1876182e-08, 3.869014e-05, 3.8713893e-05, 0.9999030772958566
15122,4.356944e-05, 2.1545698e-05, 1.8831286e-05, 7.8158024e-05, 0.9998061545917131
15123,0, 0, 0, 0, 1
15124,3.454171e-05, 2.3148476e-05, 1.8629864e-05, 7.830624e-05, 0.9997576932396414
15125,4.5074074e-05, 2.482698e-05, 1.8615054e-05, 7.82913e-05, 0.9998546159437849
15126,0, 0, 0, 0, 1
15127,4.865107e-05, 9.90885e-06, 3.874222e-05, 5.855992e-05, 0.9999030772958566
15128,0, 0, 0, 0, 1
15129,0, 0, 0, 0, 1
15130,1.8816718e-05, 0.0, 1.8816718e-05, 1.8816718e-05, 0.9999515386479283
15131,5.0161736e-05, 3.6143214e-05, 1.7361166e-05, 0.00013631806, 0.9990792343106373
15132,3.82074e-05, 3.5193305e-05, 1.8333592e-05, 0.00015632459, 0.9992730797189242
15133,0, 0, 0, 0, 1
15134,1.8902716e-05, 0.0, 1.8902716e-05, 1.8902716e-05, 0.9999515386479283
15135,1.8591889e-05, 0.0, 1.8591889e-05, 1.8591889e-05, 0.9999515386479283
15136,0, 0, 0, 0, 1
15137,9.346268e-05, 0.000104476094, 1.0173726e-05, 0.000494579, 0.9945238672158954
15138,0, 0, 0, 0, 1
15139,5.9837246e-05, 6.0314338e-05, 1.8211824e-05, 0.00021509643, 0.9996123091834263
15140,0, 0, 0, 0, 1
15141,0, 0, 0, 0, 1
15142,0.0001497426, 0.0001252052, 4.9233295e-06, 0.0004954303, 0.9949115580324691
15143,0, 0, 0, 0, 1
15144,0, 0, 0, 0, 1
15145,6.8673005e-05, 6.613601e-05, 1.8523504e-05, 0.0002758135, 0.9993700024230676
15146,0, 0, 0, 0, 1
15147,0.00012912603, 0.00014529785, 5.992806e-06, 0.0010576616, 0.9880785073903562
15148,0, 0, 0, 0, 1
15149,3.8610695e-05, 0.0, 3.8610695e-05, 3.8610695e-05, 0.9999515386479283
15150,0, 0, 0, 0, 1
15151,9.471727e-05, 8.951974e-05, 1.7412312e-05, 0.00042928642, 0.9980615459171311
15152,0, 0, 0, 0, 1
15153,0, 0, 0, 0, 1
15154,0, 0, 0, 0, 1
15155,0, 0, 0, 0, 1
15156,0, 0, 0, 0, 1
15157,0, 0, 0, 0, 1
15158,0, 0, 0, 0, 1
15159,5.4367505e-05, 4.230685e-05, 1.8715498e-05, 0.0001375796, 0.9997576932396414
15160,3.8734186e-05, 1.9815767e-05, 1.8918417e-05, 5.854995e-05, 0.9999030772958566
15161,0, 0, 0, 0, 1
15162,0, 0, 0, 0, 1
15163,3.787185e-05, 2.25225e-05, 1.7995351e-05, 7.7401135e-05, 0.9994184637751393
15164,1.8816718e-05, 0.0, 1.8816718e-05, 1.8816718e-05, 0.9999515386479283
15165,0, 0, 0, 0, 1
15166,6.527474e-05, 4.9594437e-05, 1.6836326e-05, 0.00021446578, 0.9982069299733463
15167,0.000158975, 0.00019163179, 1.306231e-06, 0.0011495498, 0.9779985461594378
15168,3.8725393e-05, 0.0, 3.8725393e-05, 3.8725393e-05, 0.9999515386479283
15169,0, 0, 0, 0, 1
